date,rec,daten,BAA,AAA,t3m,t10y,t5y,t1y,time,spr1,spr5,spr10,hyspr
1878-09-01,1,01sep1878,,,,,,,1878m9,,,,
1878-10-01,1,01oct1878,,,,,,,1878m10,,,,
1878-11-01,1,01nov1878,,,,,,,1878m11,,,,
1878-12-01,1,01dec1878,,,,,,,1878m12,,,,
1879-01-01,1,01jan1879,,,,,,,1879m1,,,,
1879-02-01,1,01feb1879,,,,,,,1879m2,,,,
1879-03-01,1,01mar1879,,,,,,,1879m3,,,,
1879-04-01,0,01apr1879,,,,,,,1879m4,,,,
1879-05-01,0,01may1879,,,,,,,1879m5,,,,
1879-06-01,0,01jun1879,,,,,,,1879m6,,,,
1879-07-01,0,01jul1879,,,,,,,1879m7,,,,
1879-08-01,0,01aug1879,,,,,,,1879m8,,,,
1879-09-01,0,01sep1879,,,,,,,1879m9,,,,
1879-10-01,0,01oct1879,,,,,,,1879m10,,,,
1879-11-01,0,01nov1879,,,,,,,1879m11,,,,
1879-12-01,0,01dec1879,,,,,,,1879m12,,,,
1880-01-01,0,01jan1880,,,,,,,1880m1,,,,
1880-02-01,0,01feb1880,,,,,,,1880m2,,,,
1880-03-01,0,01mar1880,,,,,,,1880m3,,,,
1880-04-01,0,01apr1880,,,,,,,1880m4,,,,
1880-05-01,0,01may1880,,,,,,,1880m5,,,,
1880-06-01,0,01jun1880,,,,,,,1880m6,,,,
1880-07-01,0,01jul1880,,,,,,,1880m7,,,,
1880-08-01,0,01aug1880,,,,,,,1880m8,,,,
1880-09-01,0,01sep1880,,,,,,,1880m9,,,,
1880-10-01,0,01oct1880,,,,,,,1880m10,,,,
1880-11-01,0,01nov1880,,,,,,,1880m11,,,,
1880-12-01,0,01dec1880,,,,,,,1880m12,,,,
1881-01-01,0,01jan1881,,,,,,,1881m1,,,,
1881-02-01,0,01feb1881,,,,,,,1881m2,,,,
1881-03-01,0,01mar1881,,,,,,,1881m3,,,,
1881-04-01,0,01apr1881,,,,,,,1881m4,,,,
1881-05-01,0,01may1881,,,,,,,1881m5,,,,
1881-06-01,0,01jun1881,,,,,,,1881m6,,,,
1881-07-01,0,01jul1881,,,,,,,1881m7,,,,
1881-08-01,0,01aug1881,,,,,,,1881m8,,,,
1881-09-01,0,01sep1881,,,,,,,1881m9,,,,
1881-10-01,0,01oct1881,,,,,,,1881m10,,,,
1881-11-01,0,01nov1881,,,,,,,1881m11,,,,
1881-12-01,0,01dec1881,,,,,,,1881m12,,,,
1882-01-01,0,01jan1882,,,,,,,1882m1,,,,
1882-02-01,0,01feb1882,,,,,,,1882m2,,,,
1882-03-01,0,01mar1882,,,,,,,1882m3,,,,
